Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-agql,randomiser-a5sl,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display
1,1784016376601,14/07/2026 08:06:16,1784016376601,1,14/07/2026 09:06:16,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,,,,,,,info,START SUBSYSTEM base.component.audioSubsystem,,,,,,,,,,,,,,,,
2,1784016390338,14/07/2026 08:06:30,1784016390338,1,14/07/2026 09:06:30,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,,,,,,,info,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,,,,,,,,,,
3,1784016390342,14/07/2026 08:06:30,1784016390342,1,14/07/2026 09:06:30,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,
4,1784016407607,14/07/2026 08:06:47,1784016407607,1,14/07/2026 09:06:47,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,Spreadsheet1,1,Instructions,Screen 3,uu6gea,1,continue,,,17287.2,17282.5,17287.2,17287.2,17282.5,17287.2,1,0,0,,Click To Continue,Continue Button,2,object-62,Instructions
5,1784016425441,14/07/2026 08:07:05,1784016425441,1,14/07/2026 09:07:05,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,Spreadsheet1,1,Instructions,Instructions,1w1t91,2,continue,,,17839.7,17833.000000000004,17839.7,17839.7,17833.000000000004,17839.7,1,0,0,,Click To Continue,Continue Button,2,object-4,Instructions
6,1784016428820,14/07/2026 08:07:08,1784016428820,1,14/07/2026 09:07:08,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,Spreadsheet1,1,Questions,age,5wcce5,1,response,50,,1766.2999999999956,3382.899999999994,3385.6000000059576,1766.2999999999956,3382.899999999994,3385.6000000059576,1,1619.300000005962,0,,Single Text Entry,Single Text Entry,2,object-11,Questions
7,1784016431221,14/07/2026 08:07:11,1784016431221,1,14/07/2026 09:07:11,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,Spreadsheet1,1,Questions,gender,9b3p1i,2,continue,,,2403.0000000178843,2399.9000000000015,2403.0000000178843,2403.0000000178843,2399.9000000000015,2403.0000000178843,1,0,0,,Click To Continue,Continue Button,3,object-53,Questions
8,1784016431222,14/07/2026 08:07:11,1784016431222,1,14/07/2026 09:07:11,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,Spreadsheet1,1,Questions,gender,9b3p1i,2,response,Male,,1283.4000000000015,2399.9000000000015,2404.0000000178843,1283.4000000000015,2399.9000000000015,2404.0000000178843,1,1120.6000000178828,0,,Multiple choice,Multiple choice,2,object-52,Questions
9,1784016434130,14/07/2026 08:07:14,1784016434130,1,14/07/2026 09:07:14,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,Spreadsheet1,1,Questions,vision,zaaw3i,3,continue,,,2912.100000017883,2899.5999999999985,2912.100000017883,2912.100000017883,2899.5999999999985,2912.100000017883,1,0,0,,Click To Continue,Continue Button,3,object-68,Questions
10,1784016434130,14/07/2026 08:07:14,1784016434130,1,14/07/2026 09:07:14,274266,20,task-fw7d,,57184670,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Demographics Questionnaire,7,CDBEA,Contingent,Spreadsheet1,Spreadsheet1,1,Questions,vision,zaaw3i,3,response,Yes,,1899.800000000003,2899.5999999999985,2912.800000005962,1899.800000000003,2899.5999999999985,2912.800000005962,1,1013.000000005959,0,,Multiple choice,Multiple choice,2,object-67,Questions
