index,participant_index,age,gender,trial_number,expectedness,comfortable,propensity,image_set,image_set_repeat,noisiness,oddity,quadrant,c_expect,c_comfrt,c_prpnst,c_noise,c_oddity,c_oddnse
1,1,50,"Male",1,"5 - Very Unexpected","2 - Yes, a bit inconvenient but manageable","0 - adventurous",15,1,"1 - High","1 - Present",4,5,2,0,1,1,1
2,1,50,"Male",2,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",13,1,"0 - Low","1 - Present",3,4,1,0,0,1,0
3,1,50,"Male",3,"5 - Very Unexpected","4 - Certainly Not","0 - adventurous",6,1,"1 - High","1 - Present",4,5,4,0,1,1,1
4,1,50,"Male",4,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",9,1,"0 - Low","1 - Present",3,4,1,0,0,1,0
5,1,50,"Male",5,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",12,1,"1 - High","0 - None",2,1,1,0,1,0,0
6,1,50,"Male",6,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",12,2,"1 - High","0 - None",2,1,1,0,1,0,0
7,1,50,"Male",7,"1 - Completely Expected","3 - Yes, but would not be feel nice","0 - adventurous",11,1,"0 - Low","0 - None",1,1,3,0,0,0,0
8,1,50,"Male",8,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",7,1,"0 - Low","1 - Present",3,4,1,0,0,1,0
9,1,50,"Male",9,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",13,2,"0 - Low","0 - None",1,1,1,0,0,0,0
10,1,50,"Male",10,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",4,1,"1 - High","0 - None",2,1,1,0,1,0,0
11,1,50,"Male",11,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",5,1,"1 - High","0 - None",2,1,1,0,1,0,0
12,1,50,"Male",12,"5 - Very Unexpected","4 - Certainly Not","0 - adventurous",10,1,"1 - High","1 - Present",4,5,4,0,1,1,1
13,1,50,"Male",13,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",14,1,"0 - Low","0 - None",1,1,1,0,0,0,0
14,1,50,"Male",14,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",8,1,"1 - High","1 - Present",4,4,1,0,1,1,1
15,1,50,"Male",15,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",14,2,"0 - Low","0 - None",1,1,1,0,0,0,0
16,1,50,"Male",16,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",1,1,"0 - Low","1 - Present",3,4,1,0,0,1,0
17,1,50,"Male",17,"5 - Very Unexpected","4 - Certainly Not","0 - adventurous",6,2,"1 - High","1 - Present",4,5,4,0,1,1,1
18,1,50,"Male",18,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",7,2,"0 - Low","1 - Present",3,4,1,0,0,1,0
19,1,50,"Male",19,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",2,1,"0 - Low","0 - None",1,1,1,0,0,0,0
20,1,50,"Male",20,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",3,1,"0 - Low","0 - None",1,1,1,0,0,0,0
21,1,50,"Male",21,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",9,2,"0 - Low","1 - Present",3,4,1,0,0,1,0
22,1,50,"Male",22,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",15,2,"0 - Low","0 - None",1,1,1,0,0,0,0
23,1,50,"Male",23,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",16,1,"0 - Low","1 - Present",3,4,1,0,0,1,0
24,1,50,"Male",24,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",5,2,"1 - High","0 - None",2,1,1,0,1,0,0
25,1,50,"Male",25,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","0 - adventurous",11,2,"1 - High","0 - None",2,1,2,0,1,0,0
26,1,50,"Male",26,"5 - Very Unexpected","4 - Certainly Not","0 - adventurous",3,2,"1 - High","1 - Present",4,5,4,0,1,1,1
27,1,50,"Male",27,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",1,2,"0 - Low","1 - Present",3,4,1,0,0,1,0
28,1,50,"Male",28,"4 - Somewhat Unexpected","1 - Absolutely Yes","0 - adventurous",4,2,"1 - High","1 - Present",4,4,1,0,1,1,1
29,1,50,"Male",29,"1 - Completely Expected","3 - Yes, but would not be feel nice","0 - adventurous",8,2,"1 - High","0 - None",2,1,3,0,1,0,0
30,1,50,"Male",30,"1 - Completely Expected","1 - Absolutely Yes","0 - adventurous",10,2,"0 - Low","0 - None",1,1,1,0,0,0,0
31,1,50,"Male",31,"5 - Very Unexpected","1 - Absolutely Yes","0 - adventurous",16,2,"1 - High","1 - Present",4,5,1,0,1,1,1
32,1,50,"Male",32,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","0 - adventurous",2,2,"1 - High","0 - None",2,1,2,0,1,0,0
33,2,37,"Male",1,"2 - Somewhat Expected","3 - Yes, but would not be feel nice","1 - cautious",14,1,"0 - Low","0 - None",1,2,3,1,0,0,0
34,2,37,"Male",2,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",16,1,"1 - High","1 - Present",4,4,2,1,1,1,1
35,2,37,"Male",3,"5 - Very Unexpected","4 - Certainly Not","1 - cautious",11,1,"1 - High","1 - Present",4,5,4,1,1,1,1
36,2,37,"Male",4,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",15,1,"1 - High","1 - Present",4,4,3,1,1,1,1
37,2,37,"Male",5,"4 - Somewhat Unexpected","2 - Yes, a bit inconvenient but manageable","1 - cautious",4,1,"0 - Low","0 - None",1,4,2,1,0,0,0
38,2,37,"Male",6,"4 - Somewhat Unexpected","3 - Yes, but would not be feel nice","1 - cautious",6,1,"0 - Low","1 - Present",3,4,3,1,0,1,0
39,2,37,"Male",7,"2 - Somewhat Expected","1 - Absolutely Yes","1 - cautious",10,1,"0 - Low","0 - None",1,2,1,1,0,0,0
40,2,37,"Male",8,"1 - Completely Expected","2 - Yes, a bit inconvenient but manageable","1 - cautious",9,1,"0 - Low","0 - None",1,1,2,1,0,0,0
41,2,37,"Male",9,"1 - Completely Expected","1 - Absolutely Yes","1 - cautious",14,2,"0 - Low","0 - None",1,1,1,1,0,0,0
