index,participant_index,age,gender,timezone,trial_number,expectedness,comfortable,propensity,image_set,image_set_repeat,noisiness,oddity,quadrant,c_expect,c_discom,c_noise,c_oddity,c_propen,c_oddnse,c_tmzone
1,1,50,Male,1,1,5 - Very Unexpected,"2 - Yes, a bit inconvenient but manageable",0 - adventurous,15,1,1 - High,1 - Present,4,5,2,1,1,0,1,UK
2,1,50,Male,1,2,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,13,1,0 - Low,1 - Present,3,4,1,0,1,0,0,UK
3,1,50,Male,1,3,5 - Very Unexpected,4 - Certainly Not,0 - adventurous,6,1,1 - High,1 - Present,4,5,4,1,1,0,1,UK
4,1,50,Male,1,4,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,9,1,0 - Low,1 - Present,3,4,1,0,1,0,0,UK
5,1,50,Male,1,5,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,12,1,1 - High,0 - None,2,1,1,1,0,0,0,UK
6,1,50,Male,1,6,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,12,2,1 - High,0 - None,2,1,1,1,0,0,0,UK
7,1,50,Male,1,7,1 - Completely Expected,"3 - Yes, but would not be feel nice",0 - adventurous,11,1,0 - Low,0 - None,1,1,3,0,0,0,0,UK
8,1,50,Male,1,8,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,7,1,0 - Low,1 - Present,3,4,1,0,1,0,0,UK
9,1,50,Male,1,9,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,13,2,0 - Low,0 - None,1,1,1,0,0,0,0,UK
10,1,50,Male,1,10,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,4,1,1 - High,0 - None,2,1,1,1,0,0,0,UK
11,1,50,Male,1,11,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,5,1,1 - High,0 - None,2,1,1,1,0,0,0,UK
12,1,50,Male,1,12,5 - Very Unexpected,4 - Certainly Not,0 - adventurous,10,1,1 - High,1 - Present,4,5,4,1,1,0,1,UK
13,1,50,Male,1,13,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,14,1,0 - Low,0 - None,1,1,1,0,0,0,0,UK
14,1,50,Male,1,14,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,8,1,1 - High,1 - Present,4,4,1,1,1,0,1,UK
15,1,50,Male,1,15,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,14,2,0 - Low,0 - None,1,1,1,0,0,0,0,UK
16,1,50,Male,1,16,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,1,1,0 - Low,1 - Present,3,4,1,0,1,0,0,UK
17,1,50,Male,1,17,5 - Very Unexpected,4 - Certainly Not,0 - adventurous,6,2,1 - High,1 - Present,4,5,4,1,1,0,1,UK
18,1,50,Male,1,18,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,7,2,0 - Low,1 - Present,3,4,1,0,1,0,0,UK
19,1,50,Male,1,19,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,2,1,0 - Low,0 - None,1,1,1,0,0,0,0,UK
20,1,50,Male,1,20,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,3,1,0 - Low,0 - None,1,1,1,0,0,0,0,UK
21,1,50,Male,1,21,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,9,2,0 - Low,1 - Present,3,4,1,0,1,0,0,UK
22,1,50,Male,1,22,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,15,2,0 - Low,0 - None,1,1,1,0,0,0,0,UK
23,1,50,Male,1,23,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,16,1,0 - Low,1 - Present,3,4,1,0,1,0,0,UK
24,1,50,Male,1,24,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,5,2,1 - High,0 - None,2,1,1,1,0,0,0,UK
25,1,50,Male,1,25,1 - Completely Expected,"2 - Yes, a bit inconvenient but manageable",0 - adventurous,11,2,1 - High,0 - None,2,1,2,1,0,0,0,UK
26,1,50,Male,1,26,5 - Very Unexpected,4 - Certainly Not,0 - adventurous,3,2,1 - High,1 - Present,4,5,4,1,1,0,1,UK
27,1,50,Male,1,27,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,1,2,0 - Low,1 - Present,3,4,1,0,1,0,0,UK
28,1,50,Male,1,28,4 - Somewhat Unexpected,1 - Absolutely Yes,0 - adventurous,4,2,1 - High,1 - Present,4,4,1,1,1,0,1,UK
29,1,50,Male,1,29,1 - Completely Expected,"3 - Yes, but would not be feel nice",0 - adventurous,8,2,1 - High,0 - None,2,1,3,1,0,0,0,UK
30,1,50,Male,1,30,1 - Completely Expected,1 - Absolutely Yes,0 - adventurous,10,2,0 - Low,0 - None,1,1,1,0,0,0,0,UK
31,1,50,Male,1,31,5 - Very Unexpected,1 - Absolutely Yes,0 - adventurous,16,2,1 - High,1 - Present,4,5,1,1,1,0,1,UK
32,1,50,Male,1,32,1 - Completely Expected,"2 - Yes, a bit inconvenient but manageable",0 - adventurous,2,2,1 - High,0 - None,2,1,2,1,0,0,0,UK
33,2,37,Male,1,1,2 - Somewhat Expected,"3 - Yes, but would not be feel nice",1 - cautious,14,1,0 - Low,0 - None,1,2,3,0,0,1,0,UK
34,2,37,Male,1,2,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,16,1,1 - High,1 - Present,4,4,2,1,1,1,1,UK
35,2,37,Male,1,3,5 - Very Unexpected,4 - Certainly Not,1 - cautious,11,1,1 - High,1 - Present,4,5,4,1,1,1,1,UK
36,2,37,Male,1,4,4 - Somewhat Unexpected,"3 - Yes, but would not be feel nice",1 - cautious,15,1,1 - High,1 - Present,4,4,3,1,1,1,1,UK
37,2,37,Male,1,5,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,4,1,0 - Low,0 - None,1,4,2,0,0,1,0,UK
38,2,37,Male,1,6,4 - Somewhat Unexpected,"3 - Yes, but would not be feel nice",1 - cautious,6,1,0 - Low,1 - Present,3,4,3,0,1,1,0,UK
39,2,37,Male,1,7,2 - Somewhat Expected,1 - Absolutely Yes,1 - cautious,10,1,0 - Low,0 - None,1,2,1,0,0,1,0,UK
40,2,37,Male,1,8,1 - Completely Expected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,9,1,0 - Low,0 - None,1,1,2,0,0,1,0,UK
41,2,37,Male,1,9,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,14,2,0 - Low,0 - None,1,1,1,0,0,1,0,UK
42,2,37,Male,1,10,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,2,1,0 - Low,1 - Present,3,4,2,0,1,1,0,UK
43,2,37,Male,1,11,2 - Somewhat Expected,1 - Absolutely Yes,1 - cautious,16,2,1 - High,1 - Present,4,2,1,1,1,1,1,UK
44,2,37,Male,1,12,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,1,1,0 - Low,1 - Present,3,4,2,0,1,1,0,UK
45,2,37,Male,1,13,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,7,1,1 - High,1 - Present,4,4,2,1,1,1,1,UK
46,2,37,Male,1,14,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,1,2,1 - High,0 - None,2,1,1,1,0,1,0,UK
47,2,37,Male,1,15,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,13,1,1 - High,0 - None,2,1,1,1,0,1,0,UK
48,2,37,Male,1,16,4 - Somewhat Unexpected,4 - Certainly Not,1 - cautious,11,2,0 - Low,1 - Present,3,4,4,0,1,1,0,UK
49,2,37,Male,1,17,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,9,2,0 - Low,1 - Present,3,4,2,0,1,1,0,UK
50,2,37,Male,1,18,4 - Somewhat Unexpected,"3 - Yes, but would not be feel nice",1 - cautious,15,2,1 - High,1 - Present,4,4,3,1,1,1,1,UK
51,2,37,Male,1,19,2 - Somewhat Expected,1 - Absolutely Yes,1 - cautious,5,1,0 - Low,0 - None,1,2,1,0,0,1,0,UK
52,2,37,Male,1,20,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,4,2,1 - High,0 - None,2,1,1,1,0,1,0,UK
53,2,37,Male,1,21,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,2,2,1 - High,0 - None,2,1,1,1,0,1,0,UK
54,2,37,Male,1,22,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,8,1,1 - High,0 - None,2,1,1,1,0,1,0,UK
55,2,37,Male,1,23,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,7,2,0 - Low,0 - None,1,1,1,0,0,1,0,UK
56,2,37,Male,1,24,5 - Very Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,3,1,1 - High,1 - Present,4,5,2,1,1,1,1,UK
57,2,37,Male,1,25,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,3,2,1 - High,0 - None,2,1,1,1,0,1,0,UK
58,2,37,Male,1,26,5 - Very Unexpected,1 - Absolutely Yes,1 - cautious,12,1,0 - Low,1 - Present,3,5,1,0,1,1,0,UK
59,2,37,Male,1,27,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,5,2,0 - Low,1 - Present,3,4,2,0,1,1,0,UK
60,2,37,Male,1,28,5 - Very Unexpected,"3 - Yes, but would not be feel nice",1 - cautious,10,2,0 - Low,1 - Present,3,5,3,0,1,1,0,UK
61,2,37,Male,1,29,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,8,2,1 - High,1 - Present,4,4,2,1,1,1,1,UK
62,2,37,Male,1,30,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,12,2,0 - Low,0 - None,1,1,1,0,0,1,0,UK
63,2,37,Male,1,31,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,6,2,1 - High,0 - None,2,1,1,1,0,1,0,UK
64,2,37,Male,1,32,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,13,2,1 - High,0 - None,2,1,1,1,0,1,0,UK
65,3,22,Male,-7,1,2 - Somewhat Expected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,9,1,1 - High,0 - None,2,2,2,1,0,1,0,US
66,3,22,Male,-7,2,2 - Somewhat Expected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,5,1,0 - Low,0 - None,1,2,2,0,0,1,0,US
67,3,22,Male,-7,3,4 - Somewhat Unexpected,"3 - Yes, but would not be feel nice",1 - cautious,6,1,0 - Low,1 - Present,3,4,3,0,1,1,0,US
68,3,22,Male,-7,4,2 - Somewhat Expected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,5,2,1 - High,0 - None,2,2,2,1,0,1,0,US
69,3,22,Male,-7,5,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,14,1,1 - High,1 - Present,4,4,2,1,1,1,1,US
70,3,22,Male,-7,6,4 - Somewhat Unexpected,"3 - Yes, but would not be feel nice",1 - cautious,16,1,0 - Low,0 - None,1,4,3,0,0,1,0,US
71,3,22,Male,-7,7,5 - Very Unexpected,4 - Certainly Not,1 - cautious,10,1,0 - Low,1 - Present,3,5,4,0,1,1,0,US
72,3,22,Male,-7,8,2 - Somewhat Expected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,1,1,0 - Low,0 - None,1,2,2,0,0,1,0,US
73,3,22,Male,-7,9,5 - Very Unexpected,4 - Certainly Not,1 - cautious,12,1,0 - Low,1 - Present,3,5,4,0,1,1,0,US
74,3,22,Male,-7,10,1 - Completely Expected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,14,2,1 - High,0 - None,2,1,2,1,0,1,0,US
75,3,22,Male,-7,11,5 - Very Unexpected,4 - Certainly Not,1 - cautious,15,1,0 - Low,1 - Present,3,5,4,0,1,1,0,US
76,3,22,Male,-7,12,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,13,1,0 - Low,0 - None,1,4,2,0,0,1,0,US
77,3,22,Male,-7,13,2 - Somewhat Expected,"3 - Yes, but would not be feel nice",1 - cautious,11,1,1 - High,0 - None,2,2,3,1,0,1,0,US
78,3,22,Male,-7,14,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,4,1,1 - High,0 - None,2,1,1,1,0,1,0,US
79,3,22,Male,-7,15,4 - Somewhat Unexpected,"3 - Yes, but would not be feel nice",1 - cautious,16,2,1 - High,0 - None,2,4,3,1,0,1,0,US
80,3,22,Male,-7,16,5 - Very Unexpected,4 - Certainly Not,1 - cautious,6,2,1 - High,1 - Present,4,5,4,1,1,1,1,US
81,3,22,Male,-7,17,5 - Very Unexpected,4 - Certainly Not,1 - cautious,10,2,1 - High,1 - Present,4,5,4,1,1,1,1,US
82,3,22,Male,-7,18,5 - Very Unexpected,"3 - Yes, but would not be feel nice",1 - cautious,13,2,1 - High,1 - Present,4,5,3,1,1,1,1,US
83,3,22,Male,-7,19,1 - Completely Expected,1 - Absolutely Yes,1 - cautious,4,2,1 - High,1 - Present,4,1,1,1,1,1,1,US
84,3,22,Male,-7,20,5 - Very Unexpected,4 - Certainly Not,1 - cautious,15,2,0 - Low,1 - Present,3,5,4,0,1,1,0,US
85,3,22,Male,-7,21,2 - Somewhat Expected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,1,2,0 - Low,0 - None,1,2,2,0,0,1,0,US
86,3,22,Male,-7,22,4 - Somewhat Unexpected,"2 - Yes, a bit inconvenient but manageable",1 - cautious,9,2,1 - High,1 - Present,4,4,2,1,1,1,1,US
