Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-agql,randomiser-a5sl,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: env_image,Spreadsheet: image_set,Spreadsheet: noisiness,Spreadsheet: oddity,Spreadsheet: quadrant,Spreadsheet: blockType,Store: ToFind
1,1784018364763,14/07/2026 08:39:24,1784018364763,1,14/07/2026 09:39:24,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,
2,1784018383645,14/07/2026 08:39:43,1784018383645,1,14/07/2026 09:39:43,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,trial_structure,1,instructions,instructions message,iypzb9,1,continue,,,18896.505999982117,18882.305999999997,18896.505999982117,18896.505999982117,18882.305999999997,18896.505999982117,1,0,0,,Click To Continue,Continue Button,2,object-90,instructions,,,,,,,
3,1784018416671,14/07/2026 08:40:16,1784018416671,1,14/07/2026 09:40:16,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,trial_structure,1,instructions,how to answer,ljxupn,2,continue,,,33040.59999998808,33032.1,33040.59999998808,33040.59999998808,33032.1,33040.59999998808,1,0,0,,Click To Continue,Continue Button,2,object-167,instructions,,,,,,,
4,1784018427415,14/07/2026 08:40:27,1784018427415,1,14/07/2026 09:40:27,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,trial_structure,1,trial,image rating,aixaxv,1,continue,,,10752.700000005963,10749.600000000006,10752.700000005963,10752.700000005963,10749.600000000006,10752.700000005963,1,0,0,,Click To Continue,Continue Button,6,object-155,trial,img-15-oddity-noise.png,15,1 - High,1 - Present,4,trial,
5,1784018427416,14/07/2026 08:40:27,1784018427416,1,14/07/2026 09:40:27,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,trial_structure,1,trial,image rating,aixaxv,1,response,5 - Very Unexpected,,4799.700000000004,10749.600000000006,10753.999999988082,4799.700000000004,10749.600000000006,10753.999999988082,1,5954.299999988078,0,expectedness,Rating Scale,Expectedness,3,object-153,trial,img-15-oddity-noise.png,15,1 - High,1 - Present,4,trial,
6,1784018427416,14/07/2026 08:40:27,1784018427416,1,14/07/2026 09:40:27,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,trial_structure,1,trial,image rating,aixaxv,1,response,"2 - Yes, a bit inconvenient but manageable",,9866.100000000006,10749.600000000006,10754.200000005963,9866.100000000006,10749.600000000006,10754.200000005963,1,888.1000000059576,0,comfortable,Rating Scale,Comfort,5,object-158,trial,img-15-oddity-noise.png,15,1 - High,1 - Present,4,trial,
7,1784018433946,14/07/2026 08:40:33,1784018433946,1,14/07/2026 09:40:33,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,trial_structure,2,trial,image rating,aixaxv,1,continue,,,6534.299999994037,6533.300000000003,6534.299999994037,6534.299999994037,6533.300000000003,6534.299999994037,1,0,0,,Click To Continue,Continue Button,6,object-155,trial,img-13-oddity-low-n.png,13,0 - Low,1 - Present,3,trial,
8,1784018433947,14/07/2026 08:40:33,1784018433947,1,14/07/2026 09:40:33,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,trial_structure,2,trial,image rating,aixaxv,1,response,4 - Somewhat Unexpected,,3950.699999999997,6533.300000000003,6534.899999988076,3950.699999999997,6533.300000000003,6534.899999988076,1,2584.199999988079,0,expectedness,Rating Scale,Expectedness,3,object-153,trial,img-13-oddity-low-n.png,13,0 - Low,1 - Present,3,trial,
9,1784018433947,14/07/2026 08:40:33,1784018433947,1,14/07/2026 09:40:33,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,trial_structure,2,trial,image rating,aixaxv,1,response,1 - Absolutely Yes,,5466.5,6533.300000000003,6535.299999994037,5466.5,6533.300000000003,6535.299999994037,1,1068.7999999940366,0,comfortable,Rating Scale,Comfort,5,object-158,trial,img-13-oddity-low-n.png,13,0 - Low,1 - Present,3,trial,
10,1784018438241,14/07/2026 08:40:38,1784018438241,1,14/07/2026 09:40:38,274266,20,task-8m3r,,57185728,BLINDED,16347557,,complete,,6a55ed82ef3f49f9362e82fb,computer,Desktop or Laptop,Windows 10,Chrome 150.0.0.0,1536x864,1396x663,,,0,Visual Oddity (Silvino),17,CDBEA,Contingent,trial_structure,trial_structure,3,trial,image rating,aixaxv,1,continue,,,4295.399999999994,4282.799999999988,4295.399999999994,4295.399999999994,4282.799999999988,4295.399999999994,1,0,0,,Click To Continue,Continue Button,6,object-155,trial,img-06-oddity-noise.png,06,1 - High,1 - Present,4,trial,
