index,participant_index,age,gender,timezone,t_start,t_end,t_duration,h_start,h_end,h_duration
1,1,50,"Male",1,1784018364763,1784018607209,242.446,"2026-07-14 08:39:24","2026-07-14 08:43:27","4m 2s"
2,2,37,"Male",1,1784017141503,1784017383037,241.534,"2026-07-14 08:19:01","2026-07-14 08:23:03","4m 2s"
3,3,22,"Male",-7,1784017671716,1784017924413,252.697,"2026-07-14 08:27:51","2026-07-14 08:32:04","4m 13s"
4,4,34,"Male",1,1784018593492,1784018820055,226.563,"2026-07-14 08:43:13","2026-07-14 08:47:00","3m 47s"
5,5,32,"Female",1,1784019441649,1784019629875,188.226,"2026-07-14 08:57:21","2026-07-14 09:00:29","3m 8s"
6,6,42,"Female",-5,1784017692383,1784018288875,596.492,"2026-07-14 08:28:12","2026-07-14 08:38:08","9m 56s"
7,7,32,"Female",-5,1784019465108,1784019848025,382.917,"2026-07-14 08:57:45","2026-07-14 09:04:08","6m 23s"
8,8,59,"Female",1,1784019610969,1784019976753,365.784,"2026-07-14 09:00:10","2026-07-14 09:06:16","6m 6s"
9,9,50,"Female",1,1784017289678,1784017674185,384.507,"2026-07-14 08:21:29","2026-07-14 08:27:54","6m 25s"
10,10,49,"Male",-7,1784018046701,1784018437487,390.786,"2026-07-14 08:34:06","2026-07-14 08:40:37","6m 31s"
11,11,40,"Male",10,1784018733951,1784019045144,311.193,"2026-07-14 08:45:33","2026-07-14 08:50:45","5m 11s"
12,12,39,"Male",1,1784017868654,1784018121353,252.699,"2026-07-14 08:31:08","2026-07-14 08:35:21","4m 13s"
13,13,58,"Female",-5,1784017634803,1784018103957,469.154,"2026-07-14 08:27:14","2026-07-14 08:35:03","7m 49s"
14,14,43,"Female",1,1784019449310,1784019739526,290.216,"2026-07-14 08:57:29","2026-07-14 09:02:19","4m 50s"
15,15,31,"Female",-4,1784019410112,1784019622047,211.935,"2026-07-14 08:56:50","2026-07-14 09:00:22","3m 32s"
16,16,22,"Female",1,1784017398970,1784017876117,477.147,"2026-07-14 08:23:18","2026-07-14 08:31:16","7m 57s"
17,17,64,"Male",1,1784018682360,1784019010108,327.748,"2026-07-14 08:44:42","2026-07-14 08:50:10","5m 28s"
18,18,55,"Female",1,1784018933308,1784019180054,246.746,"2026-07-14 08:48:53","2026-07-14 08:53:00","4m 7s"
19,19,35,"Female",1,1784019940276,1784020260430,320.154,"2026-07-14 09:05:40","2026-07-14 09:11:00","5m 20s"
20,20,48,"Male",-4,1784018752268,1784019205023,452.755,"2026-07-14 08:45:52","2026-07-14 08:53:25","7m 33s"
21,21,35,"Female",10,1784018297523,1784018705217,407.694,"2026-07-14 08:38:17","2026-07-14 08:45:05","6m 48s"
22,22,35,"Female",-6,1784019316535,1784019897661,581.126,"2026-07-14 08:55:16","2026-07-14 09:04:57","9m 41s"
23,23,34,"Female",1,1784017890936,1784018056892,165.956,"2026-07-14 08:31:30","2026-07-14 08:34:16","2m 46s"
24,24,30,"Male",-5,1784019174497,1784019404633,230.136,"2026-07-14 08:52:54","2026-07-14 08:56:44","3m 50s"
25,25,62,"Male",1,1784020148248,1784020527187,378.939,"2026-07-14 09:09:08","2026-07-14 09:15:27","6m 19s"
